 ,Tournament,Dissemination
2,1.20123,0.44665
3,2.06554,1.28364
4,3.13367,1.02058
5,3.8061,1.85771
6,3.95738,1.73269
7,4.79163,1.85388
8,5.62679,1.62528
9,6.18926,2.66725
10,6.24609,2.34815
11,6.30418,2.62065
12,6.46279,2.4133
