 ,Node = 2,Node = 4,Node = 6,Node = 8
2,0.000964286,0.002035714,0.003785714,0.003571429
3,20.74064286,26.39752381,21.79329762,27.37786905
4,22.93216964,27.05244643,20.35528571,19.99908036
5,28.99259286,39.15016429,47.08296429,49.67432143
6,41.47852381,50.61391667,58.17841071,56.26338691
7,57.00022959,72.11985714,94.11835714,91.30132653
8,74.64033482,98.89365179,111.1293571,114.1151563
9,76.30613492,94.51884524,110.1584206,111.5443373
10,73.6455,95.98170357,101.27855,95.95790357
11,84.62925649,111.1687987,123.9446526,120.0967013
12,101.5923333,117.7688363,127.3517589,129.5677917
